"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","1","","3","0","","0"
"0","Autenticação","0","Login de Usuário","1","0","Login com credenciais válidas","0"
